model,accuracy,balanced_accuracy,macro_f1,macro_auc,cohen_kappa,malignant_sensitivity,malignant_specificity,expected_calibration_error,accuracy_ci
stack,0.8844621513944223,0.8823585657071152,0.8809889961558031,0.9728258815612566,0.8195492673387892,0.8566037735849057,0.9585858585858585,0.02930015783794956,"[0.866, 0.901]"
deit3_small_patch16_224,0.8836653386454183,0.8910080551234943,0.8802575608347708,0.9720392946275022,0.8200815784667412,0.909433962264151,0.9353535353535354,0.06337221763356599,"[0.865, 0.900]"
weighted,0.8828685258964143,0.8908969402553293,0.8798097628776899,0.9721277839749645,0.8189013634056772,0.9132075471698113,0.9353535353535354,0.06978742235729053,"[0.865, 0.900]"
mean,0.8629482071713147,0.8769716079439146,0.8598087666977076,0.9681138281720113,0.7896078807862462,0.9169811320754717,0.9181818181818182,0.13977169420607036,"[0.843, 0.881]"
efficientnet_b0_sop,0.8581673306772908,0.8715072548710202,0.8553902019419531,0.957834191859508,0.7820102598331533,0.9132075471698113,0.9191919191919192,0.10601538630718732,"[0.838, 0.877]"
resnet50,0.7928286852589641,0.8163676991050698,0.7928080654247166,0.9232948660815673,0.6842504552870389,0.8830188679245283,0.9,0.13955738149367708,"[0.770, 0.814]"
efficientnet_b0,0.7832669322709164,0.8051918727410715,0.7846702937587694,0.9221244173840514,0.6685863854013352,0.8830188679245283,0.9,0.037533480116771975,"[0.760, 0.805]"
