split_scheme,accuracy,balanced_accuracy,macro_f1,macro_auc,cohen_kappa,malignant_sensitivity,malignant_specificity,expected_calibration_error,accuracy_ci_low,accuracy_ci_high,cv_std
grouped (leakage-free),0.7292938099389712,0.7707881453494085,0.7317717877757594,0.897403575331779,0.574948411651746,0.7531847133757962,0.82953181272509,0.05527261582212844,0.7105492589363557,0.7467414995640802,0.007597553588945253
ungrouped (reproduces shipped split),0.7497820401046208,0.7877961760499002,0.7479364070471326,0.8997725229572179,0.6057824497870771,0.7611464968152867,0.8763505402160864,0.05671397155972855,0.7327811682650393,0.7672188317349607,0.016073951312840274
